,index,product_id,name,new_tag,projectId,images,category,similarity
0,4115,Xs-eCT420C7BB99C3A44A3C,아이린 자수 호텔 침구 S (스윗 아이보리),natural 엘레나하임 elenaheim 침구세트 호텔침구세트 이불커버 베개커버 아이린 자수 호텔 침구 s (스윗 아이보리) x4uvzdl816ceb7303224d7e,x4uvzdl816ceb7303224d7e,[],Décor,0.6666666666666666
1,1989,XeuaMG6ABCD927E91F547B8,투톤 스티치 호텔 침구(싱글),modern 엘레나하임 elenaheim 침구 싱글 s 투톤 스티치 호텔 침구(싱글) x8988yib90f289b731247e1,x8988yib90f289b731247e1,"['https://resources.archisketch.com/product/XeuaMG6ABCD927E91F547B8/13-06-2021_01-11-05/preview/XeuaMG6ABCD927E91F547B8_1.png', 'https://resources.archisketch.com/product/XeuaMG6ABCD927E91F547B8/13-06-2021_01-11-05/preview/XeuaMG6ABCD927E91F547B8_0.png', 'https://resources.archisketch.com/product/XeuaMG6ABCD927E91F547B8/13-06-2021_01-11-05/preview/XeuaMG6ABCD927E91F547B8_2.png', 'https://resources.archisketch.com/product/XeuaMG6ABCD927E91F547B8/13-06-2021_01-11-05/preview/XeuaMG6ABCD927E91F547B8_3.png', 'https://resources.archisketch.com/product/XeuaMG6ABCD927E91F547B8/13-06-2021_01-11-05/preview/XeuaMG6ABCD927E91F547B8_4.png', 'https://resources.archisketch.com/product/XeuaMG6ABCD927E91F547B8/13-06-2021_01-11-05/preview/XeuaMG6ABCD927E91F547B8_5.png']",Décor,0.3076923076923077
2,3283,X6KfHBgEA333D02001F48CC,빈티지 S22 chair,scandinavian minimal modern 세컨드마켓 빈티지 빈티지 s22 chair x6rqele4d13a5c8346f4c22,x6rqele4d13a5c8346f4c22,"['https://resources.archisketch.com/product/X6KfHBgEA333D02001F48CC/27-01-2022_16-29-21/preview/X6KfHBgEA333D02001F48CC_1.png', 'https://resources.archisketch.com/product/X6KfHBgEA333D02001F48CC/27-01-2022_16-29-21/preview/X6KfHBgEA333D02001F48CC_0.png', 'https://resources.archisketch.com/product/X6KfHBgEA333D02001F48CC/27-01-2022_16-29-21/preview/X6KfHBgEA333D02001F48CC_2.png', 'https://resources.archisketch.com/product/X6KfHBgEA333D02001F48CC/27-01-2022_16-29-21/preview/X6KfHBgEA333D02001F48CC_3.png', 'https://resources.archisketch.com/product/X6KfHBgEA333D02001F48CC/27-01-2022_16-29-21/preview/X6KfHBgEA333D02001F48CC_4.png', 'https://resources.archisketch.com/product/X6KfHBgEA333D02001F48CC/27-01-2022_16-29-21/preview/X6KfHBgEA333D02001F48CC_5.png']",Chairs,0.26086956521739135
3,161,XlaPAt1F04C5D4A758043D9,싱크대 상+하부장 세트 (싱크대) (화이트),minimal modern scandinavian 싱크대 상+하부장 세트 (싱크대) (화이트) x9xvpb6998723a606f34eba,x9xvpb6998723a606f34eba,"['https://resources.archisketch.com/product/XlaPAt1F04C5D4A758043D9/11-06-2021_12-20-11/preview/XlaPAt1F04C5D4A758043D9_1.png', 'https://resources.archisketch.com/product/XlaPAt1F04C5D4A758043D9/11-06-2021_12-20-11/preview/XlaPAt1F04C5D4A758043D9_0.png', 'https://resources.archisketch.com/product/XlaPAt1F04C5D4A758043D9/11-06-2021_12-20-11/preview/XlaPAt1F04C5D4A758043D9_2.png', 'https://resources.archisketch.com/product/XlaPAt1F04C5D4A758043D9/11-06-2021_12-20-11/preview/XlaPAt1F04C5D4A758043D9_3.png', 'https://resources.archisketch.com/product/XlaPAt1F04C5D4A758043D9/11-06-2021_12-20-11/preview/XlaPAt1F04C5D4A758043D9_4.png', 'https://resources.archisketch.com/product/XlaPAt1F04C5D4A758043D9/11-06-2021_12-20-11/preview/XlaPAt1F04C5D4A758043D9_5.png']",Kitchen,0.25
4,325,XlaONZAAB6D72A9689E4ACA,싱크대 상+하부장 세트 (원도어) (화이트),minimal modern scandinavian 싱크대 상+하부장 세트 (원도어) (화이트) x9xvpb6998723a606f34eba,x9xvpb6998723a606f34eba,"['https://resources.archisketch.com/product/XlaONZAAB6D72A9689E4ACA/11-06-2021_09-28-58/preview/XlaONZAAB6D72A9689E4ACA_1.png', 'https://resources.archisketch.com/product/XlaONZAAB6D72A9689E4ACA/11-06-2021_09-28-58/preview/XlaONZAAB6D72A9689E4ACA_0.png', 'https://resources.archisketch.com/product/XlaONZAAB6D72A9689E4ACA/11-06-2021_09-28-58/preview/XlaONZAAB6D72A9689E4ACA_2.png', 'https://resources.archisketch.com/product/XlaONZAAB6D72A9689E4ACA/11-06-2021_09-28-58/preview/XlaONZAAB6D72A9689E4ACA_3.png', 'https://resources.archisketch.com/product/XlaONZAAB6D72A9689E4ACA/11-06-2021_09-28-58/preview/XlaONZAAB6D72A9689E4ACA_4.png', 'https://resources.archisketch.com/product/XlaONZAAB6D72A9689E4ACA/11-06-2021_09-28-58/preview/XlaONZAAB6D72A9689E4ACA_5.png']",Kitchen,0.25
5,420,XlaO0vKFE3ACCACF9F64A42,싱크대 상+하부장 세트 (가스렌지) (화이트),minimal modern scandinavian 싱크대 상+하부장 세트 (가스렌지) (화이트) x9xvpb6998723a606f34eba,x9xvpb6998723a606f34eba,"['https://resources.archisketch.com/product/XlaO0vKFE3ACCACF9F64A42/11-06-2021_07-33-20/preview/XlaO0vKFE3ACCACF9F64A42_1.png', 'https://resources.archisketch.com/product/XlaO0vKFE3ACCACF9F64A42/11-06-2021_07-33-20/preview/XlaO0vKFE3ACCACF9F64A42_0.png', 'https://resources.archisketch.com/product/XlaO0vKFE3ACCACF9F64A42/11-06-2021_07-33-20/preview/XlaO0vKFE3ACCACF9F64A42_2.png', 'https://resources.archisketch.com/product/XlaO0vKFE3ACCACF9F64A42/11-06-2021_07-33-20/preview/XlaO0vKFE3ACCACF9F64A42_3.png', 'https://resources.archisketch.com/product/XlaO0vKFE3ACCACF9F64A42/11-06-2021_07-33-20/preview/XlaO0vKFE3ACCACF9F64A42_4.png', 'https://resources.archisketch.com/product/XlaO0vKFE3ACCACF9F64A42/11-06-2021_07-33-20/preview/XlaO0vKFE3ACCACF9F64A42_5.png']",Kitchen,0.25
6,3073,Xr0_aoq010AF44DB00A4CEC,플랫 우드 블라인드 (화이트),modern 엘레나하임 elenaheim 블라인드 우드 플랫 모던 깔끔한 플랫 우드 블라인드 (화이트) x7yqkgm1b4d2f81bf664e79,x7yqkgm1b4d2f81bf664e79,"['https://resources.archisketch.com/product/Xr0_aoq010AF44DB00A4CEC/03-08-2021_10-49-40/preview/Xr0_aoq010AF44DB00A4CEC_1.png', 'https://resources.archisketch.com/product/Xr0_aoq010AF44DB00A4CEC/03-08-2021_10-49-40/preview/Xr0_aoq010AF44DB00A4CEC_0.png', 'https://resources.archisketch.com/product/Xr0_aoq010AF44DB00A4CEC/03-08-2021_10-49-40/preview/Xr0_aoq010AF44DB00A4CEC_2.png', 'https://resources.archisketch.com/product/Xr0_aoq010AF44DB00A4CEC/03-08-2021_10-49-40/preview/Xr0_aoq010AF44DB00A4CEC_3.png', 'https://resources.archisketch.com/product/Xr0_aoq010AF44DB00A4CEC/03-08-2021_10-49-40/preview/Xr0_aoq010AF44DB00A4CEC_4.png', 'https://resources.archisketch.com/product/Xr0_aoq010AF44DB00A4CEC/03-08-2021_10-49-40/preview/Xr0_aoq010AF44DB00A4CEC_5.png']",Décor,0.24
7,3278,Xp-5tUDB5D6B031ACC84304,Cone Floor lamp_on,scandinavian minimal modern 잭슨카멜레온 jacksonchameleon 무브먼트랩 movementlab 조명 스탠드조명 플로어스탠드 장스탠드램프 cone floor lamp_on x6rqele4d13a5c8346f4c22,x6rqele4d13a5c8346f4c22,"['https://resources.archisketch.com/product/Xp-5tUDB5D6B031ACC84304/13-07-2021_03-40-39/preview/Xp-5tUDB5D6B031ACC84304_1.png', 'https://resources.archisketch.com/product/Xp-5tUDB5D6B031ACC84304/13-07-2021_03-40-39/preview/Xp-5tUDB5D6B031ACC84304_0.png', 'https://resources.archisketch.com/product/Xp-5tUDB5D6B031ACC84304/13-07-2021_03-40-39/preview/Xp-5tUDB5D6B031ACC84304_2.png', 'https://resources.archisketch.com/product/Xp-5tUDB5D6B031ACC84304/13-07-2021_03-40-39/preview/Xp-5tUDB5D6B031ACC84304_3.png', 'https://resources.archisketch.com/product/Xp-5tUDB5D6B031ACC84304/13-07-2021_03-40-39/preview/Xp-5tUDB5D6B031ACC84304_4.png', 'https://resources.archisketch.com/product/Xp-5tUDB5D6B031ACC84304/13-07-2021_03-40-39/preview/Xp-5tUDB5D6B031ACC84304_5.png']",Lighting,0.19999999999999996
8,4106,Xs-eCT403E98395C8444788,아이린 모던라인벨벳쿠션 (크림화이트),natural minimal 아이린 모던라인벨벳쿠션 (크림화이트) x4oit6f0af11ebb8b7e4e05,x4oit6f0af11ebb8b7e4e05,"['https://resources.archisketch.com/product/Xs-eCT403E98395C8444788/14-09-2021_04-48-28/preview/Xs-eCT403E98395C8444788_1.png', 'https://resources.archisketch.com/product/Xs-eCT403E98395C8444788/14-09-2021_04-48-28/preview/Xs-eCT403E98395C8444788_0.png', 'https://resources.archisketch.com/product/Xs-eCT403E98395C8444788/14-09-2021_04-48-28/preview/Xs-eCT403E98395C8444788_2.png', 'https://resources.archisketch.com/product/Xs-eCT403E98395C8444788/14-09-2021_04-48-28/preview/Xs-eCT403E98395C8444788_3.png', 'https://resources.archisketch.com/product/Xs-eCT403E98395C8444788/14-09-2021_04-48-28/preview/Xs-eCT403E98395C8444788_4.png', 'https://resources.archisketch.com/product/Xs-eCT403E98395C8444788/14-09-2021_04-48-28/preview/Xs-eCT403E98395C8444788_5.png']",Décor,0.19047619047619047
9,4018,XhdR0z6E87FB01201E8420D,제인스 북 린넨 룩 커튼 (화이트),natural scandinavian 엘레나하임 elnaheim 커튼 체크커튼 베이지커튼 거실커튼 침실커튼 가리개커튼 베란다가리개 린넨 린넨커튼 제인스 북 린넨 룩 커튼 (화이트) x4z1lqyf5bfdcc36e7a4233,x4z1lqyf5bfdcc36e7a4233,"['https://resources.archisketch.com/product/XhdR0z6E87FB01201E8420D/21-06-2021_14-07-22/preview/XhdR0z6E87FB01201E8420D_1.png', 'https://resources.archisketch.com/product/XhdR0z6E87FB01201E8420D/21-06-2021_14-07-22/preview/XhdR0z6E87FB01201E8420D_0.png', 'https://resources.archisketch.com/product/XhdR0z6E87FB01201E8420D/21-06-2021_14-07-22/preview/XhdR0z6E87FB01201E8420D_2.png', 'https://resources.archisketch.com/product/XhdR0z6E87FB01201E8420D/21-06-2021_14-07-22/preview/XhdR0z6E87FB01201E8420D_3.png', 'https://resources.archisketch.com/product/XhdR0z6E87FB01201E8420D/21-06-2021_14-07-22/preview/XhdR0z6E87FB01201E8420D_4.png', 'https://resources.archisketch.com/product/XhdR0z6E87FB01201E8420D/21-06-2021_14-07-22/preview/XhdR0z6E87FB01201E8420D_5.png']",Décor,0.18181818181818188
